no,sym,ja,en,hira,romaji,alts,trivia,diff,score
1,H,水素,Hydrogen,すいそ,suiso,,宇宙で最も豊富な元素。太陽の主成分,1,10
2,He,ヘリウム,Helium,へりうむ,heriumu,,風船に使われる軽い気体。最初に宇宙で発見,1,10
3,Li,リチウム,Lithium,りちうむ,richiumu,ritiumu,充電池に使われる最も軽い金属,1,10
4,Be,ベリリウム,Beryllium,べりりうむ,beririumu,,エメラルドに含まれる。X線を通しやすい,2,20
5,B,ホウ素,Boron,ほうそ,houso,,ガラス強化・半導体材料として重要,1,10
6,C,炭素,Carbon,たんそ,tanso,tannso,ダイヤモンドも黒鉛もこの元素でできている,1,10
7,N,窒素,Nitrogen,ちっそ,chisso,tisso,空気の約78%を占める不活性な気体,1,10
8,O,酸素,Oxygen,さんそ,sanso,sannso,呼吸と燃焼に不可欠な気体。空気の21%,1,10
9,F,フッ素,Fluorine,ふっそ,fusso,husso,歯磨き粉に含まれ虫歯を防ぐ,1,10
10,Ne,ネオン,Neon,ねおん,neon,neonn,ネオンサインに使われる希ガス,1,10
11,Na,ナトリウム,Sodium,なとりうむ,natoriumu,,食塩の成分。炎色反応は鮮やかな黄色,1,10
12,Mg,マグネシウム,Magnesium,まぐねしうむ,maguneshiumu,magunesiumu,花火の白い炎の原料。人体に必須のミネラル,1,15
13,Al,アルミニウム,Aluminium,あるみにうむ,aruminiumu,,軽くて錆びにくい。地殻中で最多の金属元素,1,15
14,Si,ケイ素,Silicon,けいそ,keiso,,半導体の材料。シリコンバレーの名の由来,1,10
15,P,リン,Phosphorus,りん,rin,rinn,骨・歯・DNAの重要成分。マッチに使われる,1,10
16,S,硫黄,Sulfur,いおう,iou,,火山で産出する黄色い固体。温泉の香り成分,1,10
17,Cl,塩素,Chlorine,えんそ,enso,ennso,プールの消毒に使われる黄緑色の気体,1,10
18,Ar,アルゴン,Argon,あるごん,arugon,arugonn,白熱電球内に封入される。空気の1%,1,10
19,K,カリウム,Potassium,かりうむ,kariumu,,バナナに豊富。筋肉や神経に不可欠なミネラル,1,10
20,Ca,カルシウム,Calcium,かるしうむ,karushiumu,karusiumu,骨・歯の主成分。牛乳に豊富,1,15
21,Sc,スカンジウム,Scandium,すかんじうむ,sukanjiumu,sukanziumu|sukannjiumu|sukannziumu,自転車フレームなどスポーツ用品の軽合金材料,2,20
22,Ti,チタン,Titanium,ちたん,chitan,titan|titann|chitann,軽くて強い。インプラントや航空機に使われる,1,15
23,V,バナジウム,Vanadium,ばなじうむ,banajiumu,banaziumu,鉄鋼の強度向上に使われる遷移金属,2,20
24,Cr,クロム,Chromium,くろむ,kuromu,,ステンレス鋼の必須成分。クロームメッキの材料,1,15
25,Mn,マンガン,Manganese,まんがん,mangan,mangann|manngan|manngann,乾電池の電極材料。鉄鋼の強化剤,1,15
26,Fe,鉄,Iron,てつ,tetsu,tetu,地球の核の主成分。人類が最も多く使う金属,1,10
27,Co,コバルト,Cobalt,こばると,kobaruto,,青いコバルトブルー色の由来。磁石の材料,1,15
28,Ni,ニッケル,Nickel,にっける,nikkeru,,硬貨の材料。ニクロム線に使われる,1,15
29,Cu,銅,Copper,どう,dou,,電線に広く使われる。熱・電気の良導体,1,10
30,Zn,亜鉛,Zinc,あえん,aen,aenn,鉄の防錆めっきに使われる。亜鉛華軟膏,1,10
31,Ga,ガリウム,Gallium,がりうむ,gariumu,,手の平の熱(30℃)で溶ける低融点金属,2,20
32,Ge,ゲルマニウム,Germanium,げるまにうむ,gerumaniumu,,メンデレーエフが発見を予言した元素,2,20
33,As,ヒ素,Arsenic,ひそ,hiso,,有名な毒。半導体にも使われる準金属,1,15
34,Se,セレン,Selenium,せれん,seren,serenn,光で電気を通す光電効果がある。コピー機に利用,2,20
35,Br,臭素,Bromine,しゅうそ,shuuso,syuuso,常温で液体の唯一の非金属元素,2,20
36,Kr,クリプトン,Krypton,くりぷとん,kuriputon,kuriputonn,スーパーマンの故郷「クリプトン星」の名の由来,2,20
37,Rb,ルビジウム,Rubidium,るびじうむ,rubijiumu,rubiziumu,原子時計の材料。赤い炎色反応,2,20
38,Sr,ストロンチウム,Strontium,すとろんちうむ,sutoronchiumu,sutorontiumu|sutoronnchiumu|sutoronntiumu,花火の赤い炎の原料。炎色反応は深紅色,2,25
39,Y,イットリウム,Yttrium,いっとりうむ,ittoriumu,,LEDや蛍光灯の赤色蛍光体に使われる,2,25
40,Zr,ジルコニウム,Zirconium,じるこにうむ,jirukoniumu,zirukoniumu,原子炉の燃料被覆管に使われる耐熱金属,2,25
41,Nb,ニオブ,Niobium,におぶ,niobu,,超電導体として使われるレアメタル,2,20
42,Mo,モリブデン,Molybdenum,もりぶでん,moribuden,moribudenn,鋼鉄を硬くする添加剤。高温でも溶けにくい,2,25
43,Tc,テクネチウム,Technetium,てくねちうむ,tekunechiumu,tekunetiumu,人工的に初めて作られた元素。医療用放射性同位体,3,35
44,Ru,ルテニウム,Ruthenium,るてにうむ,ruteniumu,,万年筆のペン先や電極の材料,2,25
45,Rh,ロジウム,Rhodium,ろじうむ,rojiumu,roziumu,自動車触媒として使われる最高値の金属,2,25
46,Pd,パラジウム,Palladium,ぱらじうむ,parajiumu,paraziumu,体積の900倍の水素を吸収できる金属,2,25
47,Ag,銀,Silver,ぎん,gin,ginn,金属の中で電気・熱の伝導率が最も高い,1,10
48,Cd,カドミウム,Cadmium,かどみうむ,kadomiumu,,イタイイタイ病の原因物質。ニッカド電池の材料,2,20
49,In,インジウム,Indium,いんじうむ,injiumu,inziumu,スマートフォンのタッチパネル電極の材料,2,20
50,Sn,スズ,Tin,すず,suzu,,ハンダの主要成分。ブリキはスズめっきの鉄,1,10
51,Sb,アンチモン,Antimony,あんちもん,anchimon,antimon|annchimon|antimonn|annchimonn|anntimonn,古代エジプトのアイメイクに使用された,2,20
52,Te,テルル,Tellurium,てるる,teruru,,太陽に比べ地球では非常に希少な元素,2,20
53,I,ヨウ素,Iodine,ようそ,youso,,消毒薬・甲状腺ホルモンの材料。昆布に豊富,1,15
54,Xe,キセノン,Xenon,きせのん,kisenon,kisenonn,HIDヘッドライトに使われる希ガス,2,20
55,Cs,セシウム,Cesium,せしうむ,seshiumu,sesiumu,原子時計の基準に使われる。最も電気陰性度が低い,2,20
56,Ba,バリウム,Barium,ばりうむ,bariumu,,X線検査の造影剤として使われる,2,20
57,La,ランタン,Lanthanum,らんたん,rantan,ranntann,カメラレンズの材料。ランタノイドの先頭,2,20
58,Ce,セリウム,Cerium,せりうむ,seriumu,,最も豊富な希土類元素。自動車の触媒に使われる,2,20
59,Pr,プラセオジム,Praseodymium,ぷらせおじむ,puraseojiumu,puraseoziumu,強力な永久磁石ネオジム磁石の材料,3,35
60,Nd,ネオジム,Neodymium,ねおじむ,neojimu,neozimu,世界最強クラスの永久磁石の主成分,2,25
61,Pm,プロメチウム,Promethium,ぷろめちうむ,puromechiumu,purometiumu,自然界にほとんど存在しない放射性の希土類元素,3,35
62,Sm,サマリウム,Samarium,さまりうむ,samariumu,,コバルトとの合金で強力な永久磁石に,2,25
63,Eu,ユウロピウム,Europium,ゆうろぴうむ,yuuropiumu,,蛍光灯の赤い蛍光体。紙幣の偽造防止に使われる,3,30
64,Gd,ガドリニウム,Gadolinium,がどりにうむ,gadoriniumu,,MRIの造影剤に使われる希土類元素,3,30
65,Tb,テルビウム,Terbium,てるびうむ,terubiumu,,スマートフォンのスピーカー振動板の材料,3,30
66,Dy,ジスプロシウム,Dysprosium,じすぷろしうむ,jisupuroshiumu,jisupurosiumu|zisupuroshiumu|zisupurosiumu,ネオジム磁石の耐熱性を大幅に向上させる,3,35
67,Ho,ホルミウム,Holmium,ほるみうむ,horumiumu,,元素の中で最も強い磁気モーメントを持つ,3,30
68,Er,エルビウム,Erbium,えるびうむ,erubiumu,,光ファイバー通信の増幅器に使われる,3,30
69,Tm,ツリウム,Thulium,つりうむ,tsuriumu,turiumu,ポータブルX線装置の放射源として利用,3,30
70,Yb,イッテルビウム,Ytterbium,いってるびうむ,itterubiumu,,光格子時計に使われる超高精度の原子時計材料,3,35
71,Lu,ルテチウム,Lutetium,るてちうむ,rutechiumu,rutetiumu,ランタノイドの中で最も重い元素,3,35
72,Hf,ハフニウム,Hafnium,はふにうむ,hafuniumu,hahuniumu,原子炉の制御棒の材料。ジルコニウムと分離が難しい,2,25
73,Ta,タンタル,Tantalum,たんたる,tantaru,tanntaru,スマートフォンのコンデンサーに不可欠なレアメタル,2,25
74,W,タングステン,Tungsten,たんぐすてん,tangusuten,tanngusutenn|tangusutenn|tanngusuten,全金属元素の中で最も高い融点(3422℃)を持つ,2,25
75,Re,レニウム,Rhenium,れにうむ,reniumu,,最後に発見された安定元素の一つ(1925年発見),2,25
76,Os,オスミウム,Osmium,おすみうむ,osumiumu,,全元素の中で最も高い密度(22.59 g/cm³)を持つ,2,25
77,Ir,イリジウム,Iridium,いりじうむ,irijiumu,iriziumu,6600万年前の地層(K-Pg境界)に多く含まれる,2,25
78,Pt,白金,Platinum,はっきん,hakkin,hakkinn,触媒・宝飾品に使われる貴金属。プラチナとも呼ぶ,2,20
79,Au,金,Gold,きん,kin,kinn,腐食せず輝き続ける貴金属の代表,1,10
80,Hg,水銀,Mercury,すいぎん,suigin,suiginn,常温で液体の唯一の金属元素,1,15
81,Tl,タリウム,Thallium,たりうむ,tariumu,,強い毒性を持つ金属。ミステリー小説でお馴染み,2,20
82,Pb,鉛,Lead,なまり,namari,,重くて軟らかい。活版印刷の活字に使われた,1,15
83,Bi,ビスマス,Bismuth,びすます,bisumasu,,美しい虹色の階段状結晶を作る金属,2,20
84,Po,ポロニウム,Polonium,ぽろにうむ,poroniumu,,キュリー夫人が故国ポーランドにちなんで命名,2,25
85,At,アスタチン,Astatine,あすたちん,asutachin,asutatin|asutachinn|asutatinn,自然界に極めて微量しか存在しない準金属,3,30
86,Rn,ラドン,Radon,らどん,radon,radonn,放射性の希ガス。地下や建物に溜まることがある,2,20
87,Fr,フランシウム,Francium,ふらんしうむ,furanshiumu,furansiumu|huranshiumu|huransiumu|furannshiumu|furannsiumu|hurannshiumu|hurannsiumu,自然界に存在する最も不安定な元素,3,35
88,Ra,ラジウム,Radium,らじうむ,rajiumu,raziumu,キュリー夫人が発見した放射性元素。暗闇で光る,2,25
89,Ac,アクチニウム,Actinium,あくちにうむ,akuchiniumu,akutiniumu,暗闇で青白く光る強放射性元素,3,30
90,Th,トリウム,Thorium,とりうむ,toriumu,,次世代原子炉の燃料候補として注目される,2,25
91,Pa,プロトアクチニウム,Protactinium,ぷろとあくちにうむ,purotoakuchiniumu,purotoakutiniumu,非常に強い放射性を持つ希少元素,3,40
92,U,ウラン,Uranium,うらん,uran,urann,原子力発電の燃料。天然に存在する最重元素,1,15
93,Np,ネプツニウム,Neptunium,ねぷつにうむ,neputsuniumu,neputuniumu,人工合成された最初のトランスウラン元素,3,35
94,Pu,プルトニウム,Plutonium,ぷるとにうむ,purutoniumu,,核兵器・原子力発電の材料となる放射性元素,2,30
95,Am,アメリシウム,Americium,あめりしうむ,amerishiumu,amerisiumu,煙感知器に放射線源として使われている,3,30
96,Cm,キュリウム,Curium,きゅりうむ,kyuriumu,,キュリー夫妻にちなんで命名された超ウラン元素,3,30
97,Bk,バークリウム,Berkelium,ばーくりうむ,ba-kuriumu,,カリフォルニア州バークレーで発見,3,35
98,Cf,カリホルニウム,Californium,かりほるにうむ,karihoruniumu,kariforuniumu,強力な中性子源として金属探知などに使われる,3,35
99,Es,アインスタイニウム,Einsteinium,あいんすたいにうむ,ainsutainiumu,,アインシュタインにちなんで命名。水爆実験で発見,3,40
100,Fm,フェルミウム,Fermium,ふぇるみうむ,fuerumiumu,ferumiumu,核物理学者フェルミにちなんで命名,3,40
101,Md,メンデレビウム,Mendelevium,めんでれびうむ,menderebiumu,,元素周期表を作ったメンデレーエフにちなんで命名,3,40
102,No,ノーベリウム,Nobelium,のーべりうむ,no-beriumu,noberiumu,ノーベルにちなんで命名された超ウラン元素,3,40
103,Lr,ローレンシウム,Lawrencium,ろーれんしうむ,ro-renshiumu,ro-rensiumu,サイクロトロンを発明したローレンスにちなんで命名,3,40
104,Rf,ラザホージウム,Rutherfordium,らざほーじうむ,razaho-jiumu,razaho-ziumu,ラザフォードにちなんで命名。寿命は数秒,3,40
105,Db,ドブニウム,Dubnium,どぶにうむ,dobuniumu,,ロシアのドゥブナ研究所で発見,3,40
106,Sg,シーボーギウム,Seaborgium,しーぼーぎうむ,shi-bo-giumu,si-bo-giumu,核化学者シーボーグにちなんで命名,3,40
107,Bh,ボーリウム,Bohrium,ぼーりうむ,bo-riumu,,物理学者ニールス・ボーアにちなんで命名,3,40
108,Hs,ハッシウム,Hassium,はっしうむ,hasshiumu,hassiumu,ドイツのヘッセン州（ラテン語名Hassia）で発見,3,40
109,Mt,マイトネリウム,Meitnerium,まいとねりうむ,maitoneriumu,,核分裂を発見したリーゼ・マイトナーにちなんで命名,3,40
110,Ds,ダームスタチウム,Darmstadtium,だーむすたちうむ,da-musutachiumu,da-musutatiumu,ドイツのダルムシュタットで発見,3,40
111,Rg,レントゲニウム,Roentgenium,れんとげにうむ,rentogeniumu,renntogeniumu,X線を発見したレントゲンにちなんで命名,3,40
112,Cn,コペルニシウム,Copernicium,こぺるにしうむ,koperunishiumu,koperunisiumu,天文学者コペルニクスにちなんで命名,3,40
113,Nh,ニホニウム,Nihonium,にほにうむ,nihoniumu,,日本の理化学研究所が発見した唯一の元素,2,30
114,Fl,フレロビウム,Flerovium,ふれろびうむ,furerobiumu,hurerobiumu,フレロフ核反応研究所にちなんで命名,3,40
115,Mc,モスコビウム,Moscovium,もすこびうむ,mosukobiumu,,ロシアのモスクワ州にちなんで命名,3,40
116,Lv,リバモリウム,Livermorium,りばもりうむ,ribamoriumu,,米国リバモア国立研究所にちなんで命名,3,40
117,Ts,テネシン,Tennessine,てねしん,teneshin,tenesin|teneshinn|tenesinn,米国テネシー州にちなんで命名。2010年初合成,3,40
118,Og,オガネソン,Oganesson,おがねそん,oganeson,oganesonn,現在知られている最も原子番号が大きい元素,3,40
